Date,nom_ar,nom_fr,unite,valeur
2026-01-05 22:00:00,Vitesse du vent,Vitesse du vent,m/s,2.23
2026-01-05 21:00:00,Point de Rosée,Point de Rosée,°C,7.5
2026-01-05 21:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 21:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1001.3
2026-01-05 21:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-05 21:00:00,Humidité relative,Humidité relative,%,58.2
2026-01-05 21:00:00,Température,Température,°C,15.7
2026-01-05 21:00:00,Direction du vent,Direction du vent,Deg,114.7
2026-01-05 21:00:00,Vitesse du vent,Vitesse du vent,m/s,0.0
2026-01-05 20:00:00,Température,Température,°C,15.1
2026-01-05 20:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 20:00:00,Point de Rosée,Point de Rosée,°C,8.7
2026-01-05 20:00:00,Direction du vent,Direction du vent,Deg,220.3
2026-01-05 20:00:00,Humidité relative,Humidité relative,%,65.4
2026-01-05 20:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1001.4
2026-01-05 20:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,2.0
2026-01-05 20:00:00,Vitesse du vent,Vitesse du vent,m/s,0.15
2026-01-05 19:00:00,Point de Rosée,Point de Rosée,°C,12.7
2026-01-05 19:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 19:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1001.3
2026-01-05 19:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-05 19:00:00,Humidité relative,Humidité relative,%,78.3
2026-01-05 19:00:00,Température,Température,°C,16.5
2026-01-05 19:00:00,Direction du vent,Direction du vent,Deg,151.7
2026-01-05 19:00:00,Vitesse du vent,Vitesse du vent,m/s,2.03
2026-01-05 18:00:00,Direction du vent,Direction du vent,Deg,134.8
2026-01-05 18:00:00,Humidité relative,Humidité relative,%,76.3
2026-01-05 18:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1000.9
2026-01-05 18:00:00,Température,Température,°C,16.8
2026-01-05 18:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 18:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-05 18:00:00,Vitesse du vent,Vitesse du vent,m/s,0.63
2026-01-05 18:00:00,Point de Rosée,Point de Rosée,°C,12.6
2026-01-05 17:00:00,Température,Température,°C,19.3
2026-01-05 17:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1000.7
2026-01-05 17:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,14.0
2026-01-05 17:00:00,Point de Rosée,Point de Rosée,°C,9.6
2026-01-05 17:00:00,Humidité relative,Humidité relative,%,53.4
2026-01-05 17:00:00,Direction du vent,Direction du vent,Deg,144.3
2026-01-05 17:00:00,Vitesse du vent,Vitesse du vent,m/s,0.15
2026-01-05 17:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 16:00:00,Direction du vent,Direction du vent,Deg,37.4
2026-01-05 16:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 16:00:00,Vitesse du vent,Vitesse du vent,m/s,1.08
2026-01-05 16:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1000.5
2026-01-05 16:00:00,Point de Rosée,Point de Rosée,°C,9.6
2026-01-05 16:00:00,Température,Température,°C,20.9
2026-01-05 16:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,139.0
2026-01-05 16:00:00,Humidité relative,Humidité relative,%,48.4
2026-01-05 15:00:00,Point de Rosée,Point de Rosée,°C,7.1
2026-01-05 15:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 15:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1000.4
2026-01-05 15:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,294.0
2026-01-05 15:00:00,Humidité relative,Humidité relative,%,36.6
2026-01-05 15:00:00,Température,Température,°C,22.7
2026-01-05 15:00:00,Direction du vent,Direction du vent,Deg,255.8
2026-01-05 15:00:00,Vitesse du vent,Vitesse du vent,m/s,1.55
2026-01-05 14:00:00,Humidité relative,Humidité relative,%,37.3
2026-01-05 14:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,412.0
2026-01-05 14:00:00,Température,Température,°C,22.3
2026-01-05 14:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 14:00:00,Direction du vent,Direction du vent,Deg,265.3
2026-01-05 14:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1000.5
2026-01-05 14:00:00,Vitesse du vent,Vitesse du vent,m/s,1.52
2026-01-05 14:00:00,Point de Rosée,Point de Rosée,°C,7.0
2026-01-05 13:00:00,Vitesse du vent,Vitesse du vent,m/s,2.07
2026-01-05 13:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,466.0
2026-01-05 13:00:00,Point de Rosée,Point de Rosée,°C,7.6
2026-01-05 13:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1001.2
2026-01-05 13:00:00,Humidité relative,Humidité relative,%,40.6
2026-01-05 13:00:00,Température,Température,°C,21.6
2026-01-05 13:00:00,Direction du vent,Direction du vent,Deg,205.8
2026-01-05 13:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 12:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 12:00:00,Vitesse du vent,Vitesse du vent,m/s,1.47
2026-01-05 12:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1002.0
2026-01-05 12:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,463.0
2026-01-05 12:00:00,Point de Rosée,Point de Rosée,°C,6.9
2026-01-05 12:00:00,Humidité relative,Humidité relative,%,40.2
2026-01-05 12:00:00,Température,Température,°C,20.9
2026-01-05 12:00:00,Direction du vent,Direction du vent,Deg,216.0
2026-01-05 11:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 11:00:00,Humidité relative,Humidité relative,%,42.5
2026-01-05 11:00:00,Direction du vent,Direction du vent,Deg,253.8
2026-01-05 11:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1002.7
2026-01-05 11:00:00,Température,Température,°C,18.8
2026-01-05 11:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,412.0
2026-01-05 11:00:00,Vitesse du vent,Vitesse du vent,m/s,2.5
2026-01-05 11:00:00,Point de Rosée,Point de Rosée,°C,5.8
2026-01-05 10:00:00,Humidité relative,Humidité relative,%,46.7
2026-01-05 10:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 10:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1002.7
