Date,nom_ar,nom_fr,unite,valeur
2025-12-18 01:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-18 01:00:02,Température,Température,°C,14.8
2025-12-18 01:00:02,Humidité relative,Humidité relative,%,100.0
2025-12-18 01:00:02,Vitesse du vent,Vitesse du vent,m/s,0.47
2025-12-18 01:00:02,Direction du vent,Direction du vent,Deg,224.3
2025-12-18 01:00:02,Point de Rosée,Point de Rosée,°C,14.8
2025-12-18 01:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-18 01:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1018.6
2025-12-18 01:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-17 23:00:02,Point de Rosée,Point de Rosée,°C,14.3
2025-12-17 23:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-17 23:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-17 23:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1018.5
2025-12-17 23:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-17 23:00:02,Humidité relative,Humidité relative,%,100.0
2025-12-17 23:00:02,Température,Température,°C,14.3
2025-12-17 23:00:02,Direction du vent,Direction du vent,Deg,311.1
2025-12-17 23:00:02,Vitesse du vent,Vitesse du vent,m/s,1.24
2025-12-17 21:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-17 21:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-17 21:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1017.7
2025-12-17 21:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-17 21:00:02,Point de Rosée,Point de Rosée,°C,14.4
2025-12-17 21:00:02,Humidité relative,Humidité relative,%,100.0
2025-12-17 21:00:02,Température,Température,°C,14.4
2025-12-17 21:00:02,Direction du vent,Direction du vent,Deg,297.3
2025-12-17 21:00:02,Vitesse du vent,Vitesse du vent,m/s,0.66
2025-12-17 19:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-17 19:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-17 19:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1017.1
2025-12-17 19:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-17 19:00:02,Point de Rosée,Point de Rosée,°C,13.2
2025-12-17 19:00:02,Humidité relative,Humidité relative,%,85.4
2025-12-17 19:00:02,Température,Température,°C,15.7
2025-12-17 19:00:02,Direction du vent,Direction du vent,Deg,148.4
2025-12-17 19:00:02,Vitesse du vent,Vitesse du vent,m/s,0.68
2025-12-17 17:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-17 17:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-17 17:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1015.8
2025-12-17 17:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,3.0
2025-12-17 17:00:02,Point de Rosée,Point de Rosée,°C,13.8
2025-12-17 17:00:02,Humidité relative,Humidité relative,%,80.6
2025-12-17 17:00:02,Température,Température,°C,17.2
2025-12-17 17:00:02,Direction du vent,Direction du vent,Deg,58.5
2025-12-17 17:00:02,Vitesse du vent,Vitesse du vent,m/s,0.45
2025-12-17 15:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-17 15:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-17 15:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1014.8
2025-12-17 15:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,220.0
2025-12-17 15:00:02,Point de Rosée,Point de Rosée,°C,12.7
2025-12-17 15:00:02,Humidité relative,Humidité relative,%,62.4
2025-12-17 15:00:02,Température,Température,°C,20.1
2025-12-17 15:00:02,Direction du vent,Direction du vent,Deg,140.3
2025-12-17 15:00:02,Vitesse du vent,Vitesse du vent,m/s,3.13
2025-12-17 13:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-17 13:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1015.3
2025-12-17 13:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,362.0
2025-12-17 13:00:02,Point de Rosée,Point de Rosée,°C,11.5
2025-12-17 13:00:02,Humidité relative,Humidité relative,%,64.5
2025-12-17 13:00:02,Température,Température,°C,18.3
2025-12-17 13:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-17 13:00:02,Direction du vent,Direction du vent,Deg,71.2
2025-12-17 13:00:02,Vitesse du vent,Vitesse du vent,m/s,1.73
2025-12-17 11:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-17 11:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-17 11:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1016.3
2025-12-17 11:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,282.0
2025-12-17 11:00:02,Point de Rosée,Point de Rosée,°C,10.3
2025-12-17 11:00:02,Humidité relative,Humidité relative,%,66.4
2025-12-17 11:00:02,Température,Température,°C,16.6
2025-12-17 11:00:02,Direction du vent,Direction du vent,Deg,318.5
2025-12-17 11:00:02,Vitesse du vent,Vitesse du vent,m/s,0.53
2025-12-17 09:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-17 09:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-17 09:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1015.6
2025-12-17 09:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,123.0
2025-12-17 09:00:02,Point de Rosée,Point de Rosée,°C,10.0
2025-12-17 09:00:02,Humidité relative,Humidité relative,%,90.3
2025-12-17 09:00:02,Température,Température,°C,11.6
2025-12-17 09:00:02,Direction du vent,Direction du vent,Deg,221.7
2025-12-17 09:00:02,Vitesse du vent,Vitesse du vent,m/s,0.87
2025-12-17 07:00:02,Température,Température,°C,9.8
2025-12-17 07:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-17 07:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-17 07:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1013.9
2025-12-17 07:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-17 07:00:02,Point de Rosée,Point de Rosée,°C,9.0
2025-12-17 07:00:02,Humidité relative,Humidité relative,%,94.7
2025-12-17 07:00:02,Direction du vent,Direction du vent,Deg,285.1
2025-12-17 07:00:02,Vitesse du vent,Vitesse du vent,m/s,0.52
2025-12-17 05:00:02,Direction du vent,Direction du vent,Deg,334.2
2025-12-17 05:00:02,Vitesse du vent,Vitesse du vent,m/s,0.65
2025-12-17 05:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-17 05:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-17 05:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1012.6
2025-12-17 05:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-17 05:00:02,Point de Rosée,Point de Rosée,°C,9.5
2025-12-17 05:00:02,Humidité relative,Humidité relative,%,93.2
2025-12-17 05:00:02,Température,Température,°C,10.6
2025-12-17 03:00:02,Température,Température,°C,11.2
2025-12-17 03:00:02,Vitesse du vent,Vitesse du vent,m/s,0.46
2025-12-17 03:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-17 03:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-17 03:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1012.2
2025-12-17 03:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-17 03:00:02,Point de Rosée,Point de Rosée,°C,8.4
2025-12-17 03:00:02,Humidité relative,Humidité relative,%,83.2
2025-12-17 03:00:02,Direction du vent,Direction du vent,Deg,289.3
