Date,nom_ar,nom_fr,unite,valeur
2025-12-18 11:00:00,Vitesse du vent,Vitesse du vent,m/s,4.61
2025-12-18 10:00:00,Humidité relative,Humidité relative,%,80.1
2025-12-18 10:00:00,Vitesse du vent,Vitesse du vent,m/s,5.11
2025-12-18 10:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,956.1
2025-12-18 10:00:00,Point de Rosée,Point de Rosée,°c,10.0
2025-12-18 10:00:00,Direction du vent,Direction du vent,Deg,171.7
2025-12-18 10:00:00,Température,Température,°c,13.3
2025-12-18 09:00:00,Température,Température,°c,11.3
2025-12-18 09:00:00,Point de Rosée,Point de Rosée,°c,8.3
2025-12-18 09:00:00,Vitesse du vent,Vitesse du vent,m/s,1.75
2025-12-18 09:00:00,Humidité relative,Humidité relative,%,81.8
2025-12-18 09:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,954.6
2025-12-18 09:00:00,Direction du vent,Direction du vent,Deg,186.5
2025-12-18 08:00:00,Point de Rosée,Point de Rosée,°c,6.1
2025-12-18 08:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,954.3
2025-12-18 08:00:00,Direction du vent,Direction du vent,Deg,31.9
2025-12-18 08:00:00,Humidité relative,Humidité relative,%,81.4
2025-12-18 08:00:00,Vitesse du vent,Vitesse du vent,m/s,0.7
2025-12-18 08:00:00,Température,Température,°c,9.2
2025-12-18 07:00:00,Humidité relative,Humidité relative,%,75.4
2025-12-18 07:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,954.0
2025-12-18 07:00:00,Vitesse du vent,Vitesse du vent,m/s,1.59
2025-12-18 07:00:00,Direction du vent,Direction du vent,Deg,152.3
2025-12-18 07:00:00,Température,Température,°c,10.2
2025-12-18 07:00:00,Point de Rosée,Point de Rosée,°c,6.0
2025-12-18 06:00:00,Vitesse du vent,Vitesse du vent,m/s,1.07
2025-12-18 06:00:00,Humidité relative,Humidité relative,%,82.6
2025-12-18 06:00:00,Point de Rosée,Point de Rosée,°c,6.0
2025-12-18 06:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,953.6
2025-12-18 06:00:00,Direction du vent,Direction du vent,Deg,169.1
2025-12-18 06:00:00,Température,Température,°c,8.8
2025-12-18 05:00:00,Humidité relative,Humidité relative,%,86.8
2025-12-18 05:00:00,Direction du vent,Direction du vent,Deg,155.8
2025-12-18 05:00:00,Point de Rosée,Point de Rosée,°c,6.4
2025-12-18 05:00:00,Vitesse du vent,Vitesse du vent,m/s,0.29
2025-12-18 05:00:00,Température,Température,°c,8.5
2025-12-18 05:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,953.5
2025-12-18 04:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,953.7
2025-12-18 04:00:00,Point de Rosée,Point de Rosée,°c,7.4
2025-12-18 04:00:00,Humidité relative,Humidité relative,%,84.7
2025-12-18 04:00:00,Température,Température,°c,9.9
2025-12-18 04:00:00,Direction du vent,Direction du vent,Deg,238.8
2025-12-18 04:00:00,Vitesse du vent,Vitesse du vent,m/s,1.23
2025-12-18 01:00:00,Point de Rosée,Point de Rosée,°c,8.0
2025-12-18 01:00:00,Humidité relative,Humidité relative,%,75.4
2025-12-18 01:00:00,Température,Température,°c,12.3
2025-12-18 01:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,953.8
2025-12-18 01:00:00,Direction du vent,Direction du vent,Deg,145.5
2025-12-18 01:00:00,Vitesse du vent,Vitesse du vent,m/s,1.43
